ItemId,Kind,SourceType,SourceText
52283,Minion,Gold Saucer,260 MGC
52278,Minion,Occult Crescent,North Horn - Pot/Bunny Coffer
46784,Minion,Quest,Clotted Crime
52279,Minion,Event,The Rising (2026)
52284,Minion,Occult Crescent,Expedition Antiquarian - North Horn - 500 Enlightenment Silver Obols
52277,Minion,Occult Crescent,Expedition Antiquarian - North Horn - 10 Arcane Amulets
50316,Minion,Premium,Online Store
52275,Minion,Cosmic Exploration,Cosmic Fortune - Auxesia
52282,Minion,Quest,The Songs of Distant Trees
52280,Minion,Raid,Windurst: The Third Walk
52273,Minion,PvP,PvP Series 11 - Level 15
51687,Minion,Gathering,Gathered by Fisher
50314,Minion,Event,The Make It Rain Campaign (2026)
52276,Minion,Dungeon,The Clyteum
52654,Minion,Premium,Item code included with Trail to the Heavens Original Soundtrack
52638,Minion,Premium,Item code included with The Art of Succession -Relics of Eternity- Artbook
50318,Minion,Premium,Online Store
50322,Minion,V&C Dungeon,*The Merchant's Tale*
50824,Minion,V&C Dungeon,Trisassant - Old Sharlayan - 12 Pieces of Corvosi Brass
50321,Minion,V&C Dungeon,*The Merchant's Tale*
50323,Minion,Cosmic Exploration,Cosmic Fortune - Oizys
50315,Minion,PvP,PvP Series 10 - Level 15
50320,Minion,Dungeon,Mistwake
49821,Minion,Occult Crescent,"1,600 Enlightenment Gold Pieces"
49822,Minion,Occult Crescent,"1,000 Enlightenment Silver Pieces"
44484,Minion,Event,Heavensturn (2026)
50319,Minion,Raid,AAC Heavyweight M4
50319,Minion,Raid,AAC Heavyweight M4 (Savage)
46781,Minion,Trial,Smithy - Tuliyollal - 3 Guardian Scales
46780,Minion,Trial,Smithy - Tuliyollal - 3 Guardian Scales
46785,Minion,Deep Dungeon,Pilgrim's Traverse - Gold Sack
46783,Minion,Tribal,Rarkorgor - Shelter (Urqopacha) - 8 Yok Huy Wards (Rank 5)
46245,Minion,Deep Dungeon,25 Phials of Luminous Oil
46782,Minion,Cosmic Exploration,Cosmic Fortune - Phaenna
46775,Minion,PvP,PvP Series 9 - Level 15
46774,Minion,PvP,PvP Series 9 - Level 16
47963,Minion,Event,The Rising (2025)
47963,Minion,Premium,Online Store
46778,Minion,Dungeon,The Meso Terminal
46779,Minion,Gathering,Gathered by Fisher
47960,Minion,Premium,Online Store (China Only)
46776,Minion,Raid,San d'Oria: The Second Walk
47965,Minion,Treasure Hunt,Vault Oneiron
